user_birthdate,account_created_date,last_purchase_date,total_orders,total_spent,is_premium,age_at_signup,days_since_last_purchase,average_order_value,customer_lifetime
1987-02-10,2023-12-29,2024-11-20,36,1205.2953396271532,True,36.88158795345654,42.0,33.48042610075426,327.0
2004-08-29,2022-05-15,2022-08-09,45,511.98338817605827,True,17.70841889117043,876.0,11.377408626134628,86.0
1992-04-04,2022-07-01,2024-05-13,20,1880.1853545430695,True,30.239561943874058,233.0,94.00926772715347,682.0
1970-04-12,2023-12-28,2024-05-10,1,55.09358955237333,True,53.711156741957566,236.0,55.09358955237333,134.0
1992-10-20,2023-06-26,2024-05-31,8,468.35176284804504,False,30.680355920602327,215.0,58.54397035600563,340.0
1974-04-05,2023-06-20,2024-05-16,46,3291.6100053083037,True,49.20739219712526,230.0,71.55673924583269,331.0
1976-02-14,2022-09-28,2023-09-11,16,1046.825676721476,False,46.620123203285424,478.0,65.42660479509225,348.0
1991-04-26,2024-01-16,2024-07-24,14,1329.303421746554,True,32.72553045859001,161.0,94.95024441046814,190.0
1989-11-11,2022-10-23,2023-11-04,12,1139.7917248951808,False,32.94729637234771,424.0,94.98264374126506,377.0
2005-09-27,2023-12-03,2024-04-02,23,2025.1017924588577,False,18.182067077344286,274.0,88.04790401995034,121.0
1969-12-25,2022-09-30,2024-10-14,15,1009.144856552115,True,52.76386036960986,79.0,67.276323770141,745.0
1994-11-24,2022-10-05,2024-09-14,28,2298.392222599647,True,27.863107460643395,109.0,82.08543652141597,710.0
1991-09-29,2022-09-06,2024-06-16,34,2412.135127691924,True,30.937713894592743,199.0,70.94515081446835,649.0
1967-07-12,2023-10-22,2024-06-03,2,123.206067500948,True,56.27926078028747,212.0,61.603033750474,225.0
1975-02-27,2022-04-29,2024-03-13,32,690.0810173136613,False,47.167693360711844,294.0,21.565031791051915,684.0
1975-11-27,2024-08-02,2024-09-30,23,1909.1926458435264,True,48.681724845995895,93.0,83.00837590624027,59.0
1976-08-05,2022-07-25,2024-03-24,22,1844.8661619730317,True,45.96851471594798,283.0,83.85755281695599,608.0
1984-03-25,2024-02-20,2024-08-18,25,1658.3642577285389,False,39.90691307323751,136.0,66.33457030914155,180.0
2002-05-27,2022-08-22,2024-01-01,22,1844.4451506671107,True,20.238193018480494,366.0,83.83841593941412,497.0
2004-11-28,2024-03-20,2024-12-13,22,1509.9398482784202,True,19.307323750855577,19.0,68.63362946720092,268.0
1978-01-15,2023-09-10,2024-09-30,49,1401.4780270564472,True,45.65092402464066,93.0,28.601592388907086,386.0
1969-03-23,2023-05-20,2023-08-09,42,1455.5730612738857,True,54.157426420260094,511.0,34.65650145890204,81.0
1987-12-28,2024-08-14,2024-08-16,6,175.87812464252204,True,36.629705681040384,138.0,29.313020773753674,2.0
2000-05-09,2024-04-20,2024-06-13,15,659.2997623577673,False,23.94798083504449,202.0,43.953317490517826,54.0
1992-06-22,2024-09-09,,0,0.0,True,32.21629021218344,-1.0,0.0,0.0
1993-03-09,2022-07-04,2023-07-24,37,2428.785434845183,True,29.319644079397673,527.0,65.64284959041035,385.0
1989-06-09,2024-07-21,2024-11-28,33,1329.566018219518,True,35.115674195756334,34.0,40.28987933998539,130.0
2003-10-10,2022-05-21,2024-05-20,8,552.1202974741343,True,18.611909650924023,226.0,69.01503718426679,730.0
1994-07-18,2022-06-08,2023-07-29,44,1966.1706190236375,True,27.890485968514717,522.0,44.68569588690085,416.0
1997-09-30,2023-04-22,2024-07-04,44,3139.1901291322474,False,25.557837097878167,181.0,71.34523020755108,439.0
1973-04-25,2023-10-16,2024-02-16,5,203.281056258908,True,50.47501711156742,320.0,40.6562112517816,123.0
1989-07-03,2024-05-18,2024-06-25,39,1305.0377941080196,False,34.874743326488705,190.0,33.462507541231275,38.0
1971-04-30,2022-12-16,2024-08-17,4,218.57348354562623,False,51.630390143737166,137.0,54.64337088640656,610.0
1976-08-20,2023-06-10,2024-11-02,6,434.1607936936473,True,46.80355920602327,60.0,72.36013228227455,511.0
1983-04-16,2024-07-23,,0,0.0,True,41.270362765229294,-1.0,0.0,0.0
1981-08-16,2024-05-08,2024-09-09,32,3017.546677344437,True,42.72689938398357,114.0,94.29833366701365,124.0
2000-01-05,2023-05-14,2024-08-20,30,405.8030820242449,True,23.353867214236825,134.0,13.526769400808162,464.0
1985-07-11,2023-02-09,,0,0.0,False,37.582477754962355,-1.0,0.0,0.0
2001-05-30,2023-08-29,2024-11-14,35,3397.8787372887796,True,22.247775496235455,48.0,97.08224963682227,443.0
1999-06-30,2022-11-19,2023-10-31,40,2372.6987796931144,True,23.38945927446954,428.0,59.31746949232786,346.0
1981-12-01,2023-08-02,2023-12-27,16,769.7981569236907,True,41.667351129363446,371.0,48.11238480773067,147.0
1979-08-23,2023-12-10,2024-06-26,13,795.1687319874512,True,44.2984257357974,189.0,61.16682553749625,199.0
2006-07-01,2023-09-11,2024-11-01,42,2596.9948944755597,True,17.196440793976727,61.0,61.83321177322761,417.0
1965-02-22,2022-08-13,2024-02-15,30,2275.4489393090284,True,57.47022587268994,321.0,75.84829797696761,551.0
1999-07-13,2023-05-23,2024-09-07,19,408.34943731241617,False,23.860369609856264,116.0,21.492075648021903,473.0
1998-10-15,2024-02-06,2024-11-30,17,552.5251673006401,False,25.311430527036276,32.0,32.501480429449416,298.0
1994-04-06,2024-08-14,2024-11-12,19,1182.7302611080859,True,30.357289527720738,50.0,62.24896111095189,90.0
2001-10-25,2024-08-27,2024-12-21,28,2465.1338501684995,True,22.83915126625599,11.0,88.04049464887498,116.0
1985-11-03,2024-05-12,2024-05-14,26,1574.7680596164303,True,38.521560574948666,232.0,60.568002292939624,2.0
2003-07-19,2024-03-07,2024-11-16,37,1164.5275431018329,False,20.635181382614647,46.0,31.47371738113062,254.0
1965-06-28,2022-06-07,2022-07-14,26,1850.8367849665754,True,56.941820670773446,902.0,71.18603019102213,37.0
2002-10-31,2022-08-06,2022-08-15,23,1761.6111341260653,False,19.76454483230664,870.0,76.59178844026371,9.0
1975-10-27,2024-08-22,2024-10-09,9,282.97128344722336,True,48.82135523613963,84.0,31.44125371635815,48.0
1997-04-12,2024-08-07,2024-09-30,12,527.9471970703985,True,27.32101300479124,93.0,43.99559975586654,54.0
1996-05-13,2023-05-10,2024-12-17,1,58.08947261775071,True,26.989733059548254,15.0,58.08947261775071,587.0
1982-10-26,2023-08-14,2024-10-07,1,54.690507161476994,True,40.799452429842574,86.0,54.690507161476994,420.0
1967-09-17,2023-02-28,2023-11-09,47,2118.0845047072307,False,55.449691991786445,419.0,45.065627759728315,254.0
1976-09-05,2022-09-27,,0,0.0,False,46.05886379192334,-1.0,0.0,0.0
1967-04-24,2022-07-12,2022-10-19,32,607.9564750261666,True,55.21697467488022,805.0,18.998639844567705,99.0
1992-04-01,2024-06-17,2024-11-10,48,711.0564819486337,True,32.21081451060917,52.0,14.813676707263204,146.0
1977-12-02,2022-11-10,2023-10-14,25,-50.0,False,44.93908281998631,445.0,-2.0,338.0
1982-12-11,2022-05-06,2022-10-16,40,3449.7153187441236,False,39.40041067761807,808.0,86.24288296860308,163.0
1978-02-12,2022-09-29,2024-08-10,45,1887.3660213740186,False,44.62696783025325,144.0,41.94146714164486,681.0
1978-12-11,2023-03-27,2024-10-27,1,96.11207966138107,False,44.290212183436005,66.0,96.11207966138107,580.0
1983-12-05,2022-09-16,2023-06-20,16,1134.5486623709967,True,38.78165639972622,561.0,70.90929139818729,277.0
1978-12-31,2023-01-20,2024-06-07,39,2083.648533245675,False,44.054757015742645,208.0,53.42688546783782,504.0
1976-11-08,2023-06-20,2023-11-02,5,271.86154599731225,True,46.61190965092403,426.0,54.37230919946245,135.0
1986-06-12,2022-12-21,2024-09-21,22,384.90313416661405,False,36.525667351129364,102.0,17.495597007573366,640.0
1999-11-12,2022-08-17,2023-11-20,29,529.3478243446357,False,22.76249144421629,408.0,18.253373253263298,460.0
1987-09-27,2024-09-19,2024-12-14,3,192.65904999330212,False,36.98015058179329,18.0,64.21968333110071,86.0
1980-11-08,2024-02-19,2024-10-14,12,717.9992965334648,False,43.279945242984255,79.0,59.833274711122066,238.0
1989-12-11,2023-05-10,2023-12-26,26,757.7832743566958,False,33.40999315537303,372.0,29.145510552180607,230.0
1991-12-30,2022-08-19,2023-10-31,16,1522.520141749634,True,30.636550308008214,428.0,95.15750885935212,438.0
1987-07-31,2023-08-23,2023-09-19,37,2971.7158480691046,True,36.062970568104035,470.0,80.31664454240823,27.0
1980-07-16,2022-05-07,2024-07-13,22,-50.0,False,41.80698151950719,172.0,-2.272727272727273,798.0
1977-08-03,2022-07-22,2024-12-17,29,2719.7249658438336,False,44.96646132785763,15.0,93.78361951185633,879.0
