user_birthdate,account_created_date,last_purchase_date,total_orders,total_spent,is_premium
1987-02-10,2023-12-29,2024-11-20,36,1205.2953396271532,True
2004-08-29,2022-05-15,2022-08-09,45,511.98338817605827,True
1992-04-04,2022-07-01,2024-05-13,20,1880.1853545430695,True
1970-04-12,2023-12-28,2024-05-10,1,55.09358955237333,True
1992-10-20,2023-06-26,2024-05-31,8,468.35176284804504,False
1974-04-05,2023-06-20,2024-05-16,46,3291.6100053083037,True
1976-02-14,2022-09-28,2023-09-11,16,1046.825676721476,False
1991-04-26,2024-01-16,2024-07-24,14,1329.303421746554,True
1989-11-11,2022-10-23,2023-11-04,12,1139.7917248951808,False
2005-09-27,2023-12-03,2024-04-02,23,2025.1017924588577,False
1969-12-25,2022-09-30,2024-10-14,15,1009.144856552115,True
1994-11-24,2022-10-05,2024-09-14,28,2298.392222599647,True
1991-09-29,2022-09-06,2024-06-16,34,2412.135127691924,True
1967-07-12,2023-10-22,2024-06-03,2,123.206067500948,True
1975-02-27,2022-04-29,2024-03-13,32,690.0810173136613,False
1975-11-27,2024-08-02,2024-09-30,23,1909.1926458435264,True
1976-08-05,2022-07-25,2024-03-24,22,1844.8661619730317,True
1984-03-25,2024-02-20,2024-08-18,25,1658.3642577285389,False
2002-05-27,2022-08-22,2024-01-01,22,1844.4451506671107,True
2004-11-28,2024-03-20,2024-12-13,22,1509.9398482784202,True
1978-01-15,2023-09-10,2024-09-30,49,1401.4780270564472,True
1969-03-23,2023-05-20,2023-08-09,42,1455.5730612738857,True
1987-12-28,2024-08-14,2024-08-16,6,175.87812464252204,True
2000-05-09,2024-04-20,2024-06-13,15,659.2997623577673,False
1992-06-22,2024-09-09,,0,0.0,True
1993-03-09,2022-07-04,2023-07-24,37,2428.785434845183,True
1989-06-09,2024-07-21,2024-11-28,33,1329.566018219518,True
2003-10-10,2022-05-21,2024-05-20,8,552.1202974741343,True
1994-07-18,2022-06-08,2023-07-29,44,1966.1706190236375,True
1997-09-30,2023-04-22,2024-07-04,44,3139.1901291322474,False
1973-04-25,2023-10-16,2024-02-16,5,203.281056258908,True
1989-07-03,2024-05-18,2024-06-25,39,1305.0377941080196,False
1971-04-30,2022-12-16,2024-08-17,4,218.57348354562623,False
1976-08-20,2023-06-10,2024-11-02,6,434.1607936936473,True
1983-04-16,2024-07-23,,0,0.0,True
1981-08-16,2024-05-08,2024-09-09,32,3017.546677344437,True
2000-01-05,2023-05-14,2024-08-20,30,405.8030820242449,True
1985-07-11,2023-02-09,,0,0.0,False
2001-05-30,2023-08-29,2024-11-14,35,3397.8787372887796,True
1999-06-30,2022-11-19,2023-10-31,40,2372.6987796931144,True
1981-12-01,2023-08-02,2023-12-27,16,769.7981569236907,True
1979-08-23,2023-12-10,2024-06-26,13,795.1687319874512,True
2006-07-01,2023-09-11,2024-11-01,42,2596.9948944755597,True
1965-02-22,2022-08-13,2024-02-15,30,2275.4489393090284,True
1999-07-13,2023-05-23,2024-09-07,19,408.34943731241617,False
1998-10-15,2024-02-06,2024-11-30,17,552.5251673006401,False
1994-04-06,2024-08-14,2024-11-12,19,1182.7302611080859,True
2001-10-25,2024-08-27,2024-12-21,28,2465.1338501684995,True
1985-11-03,2024-05-12,2024-05-14,26,1574.7680596164303,True
2003-07-19,2024-03-07,2024-11-16,37,1164.5275431018329,False
1965-06-28,2022-06-07,2022-07-14,26,1850.8367849665754,True
2002-10-31,2022-08-06,2022-08-15,23,1761.6111341260653,False
1975-10-27,2024-08-22,2024-10-09,9,282.97128344722336,True
1997-04-12,2024-08-07,2024-09-30,12,527.9471970703985,True
1996-05-13,2023-05-10,2024-12-17,1,58.08947261775071,True
1982-10-26,2023-08-14,2024-10-07,1,54.690507161476994,True
1967-09-17,2023-02-28,2023-11-09,47,2118.0845047072307,False
1976-09-05,2022-09-27,,0,0.0,False
1967-04-24,2022-07-12,2022-10-19,32,607.9564750261666,True
1992-04-01,2024-06-17,2024-11-10,48,711.0564819486337,True
1977-12-02,2022-11-10,2023-10-14,25,-50.0,False
1982-12-11,2022-05-06,2022-10-16,40,3449.7153187441236,False
1978-02-12,2022-09-29,2024-08-10,45,1887.3660213740186,False
1978-12-11,2023-03-27,2024-10-27,1,96.11207966138107,False
1983-12-05,2022-09-16,2023-06-20,16,1134.5486623709967,True
1978-12-31,2023-01-20,2024-06-07,39,2083.648533245675,False
1976-11-08,2023-06-20,2023-11-02,5,271.86154599731225,True
1986-06-12,2022-12-21,2024-09-21,22,384.90313416661405,False
1999-11-12,2022-08-17,2023-11-20,29,529.3478243446357,False
1987-09-27,2024-09-19,2024-12-14,3,192.65904999330212,False
1980-11-08,2024-02-19,2024-10-14,12,717.9992965334648,False
1989-12-11,2023-05-10,2023-12-26,26,757.7832743566958,False
1991-12-30,2022-08-19,2023-10-31,16,1522.520141749634,True
1987-07-31,2023-08-23,2023-09-19,37,2971.7158480691046,True
1980-07-16,2022-05-07,2024-07-13,22,-50.0,False
1977-08-03,2022-07-22,2024-12-17,29,2719.7249658438336,False
2004-11-22,2023-08-28,2024-11-23,14,1367.5527427533568,True
1973-08-06,2024-03-01,2024-12-30,28,2789.7467299164296,False
1984-06-29,2024-09-09,2024-10-14,5,75.14201960480752,False
